"id,question,correct_answer,choices"
"1,""Chương trình Tổng thể cải cách hành chính nhà nước giai đoạn 2021-2030 có mấy nội dung? Đó là những nội dung gì?"",""Có 6 nội dung: Cải cách thể chế; Cải cách thủ tục hành chính; Cải cách tổ chức bộ máy hành chính nhà nước; Cải cách chế độ công vụ; Cải cách tài chính công và Xây dựng, phát triển Chính phủ điện tử, Chính phủ số."",""Có 5 nội dung: Cải cách tư pháp; Cải cách thủ tục hành chính; Cải cách tổ chức bộ máy hành chính nhà nước; Xây dựng và nâng cao chất lượng đội ngũ cán bộ, công chức, viên chức; Cải cách tài chính công.;Có 6 nội dung: Cải cách thể chế; Cải cách thủ tục hành chính; Cải cách tổ chức bộ máy hành chính nhà nước; Cải cách chế độ công vụ; Cải cách tài chính công và Xây dựng, phát triển Chính phủ điện tử, Chính phủ số.;Có 5 nội dung: Hiện đại hóa hành chính; Cải cách thủ tục hành chính; Cải cách tài chính công; Cải cách tổ chức bộ máy hành chính nhà nước; Xây dựng và nâng cao chất lượng đội ngũ cán bộ, công chức, viên chức.;Có 7 nội dung: Chỉ đạo điều hành; Cải cách tư pháp; Cải cách thủ tục hành chính; Cải cách tổ chức bộ máy hành chính nhà nước; Cải cách chế độ công vụ; Cải cách tài chính công; Xây dựng, phát triển Chính phủ điện tử, Chính phủ số."""
"12,""Theo Luật Tổ chức chính quyền địa phương, đơn vị hành chính của nước Cộng hòa xã hội chủ nghĩa Việt Nam được tổ chức thành 02 cấp, gồm có:"",""Tỉnh, thành phố trực thuộc Trung ương và Xã, phường, đặc khu trực thuộc cấp tỉnh"",""Tỉnh, thành phố trực thuộc Trung ương và Xã, phường, thị trấn trực thuộc cấp tỉnh;Thành phố, thị xã trực thuộc Trung ương và Xã, phường trực thuộc cấp tỉnh;Tỉnh, thành phố trực thuộc Trung ương và Xã, phường, đặc khu trực thuộc cấp tỉnh;Tỉnh, thành phố, đặc khu trực thuộc Trung ương và Xã, phường, thị trấn trực thuộc cấp tỉnh"""
"13,""Theo Luật Tổ chức chính quyền địa phương, nhiệm kỳ của mỗi khóa Hội đồng nhân dân là:"",""05 năm"",""Cấp tỉnh là 05 năm, cấp xã là 2 năm rưỡi;05 năm;03 năm;04 năm"""
"14,""Theo Luật Tổ chức chính quyền địa phương, thẩm quyền quyết định thành lập, giải thể, nhập, chia đơn vị hành chính, điều chỉnh địa giới và đổi tên đơn vị hành chính cấp xã là do:"",""Ủy ban Thường vụ Quốc hội"",""Quốc hội;Ủy ban Thường vụ Quốc hội;Chính phủ;Hội đồng nhân dân cấp tỉnh"""
"15,""Đâu là nhiệm vụ, quyền hạn của Hội đồng nhân dân tỉnh trong tổ chức và bảo đảm việc thi hành Hiến pháp và pháp luật:"",""Đáp án B đúng, đáp án A sai"",""Giải tán Hội đồng nhân dân cấp xã trong trường hợp Hội đồng nhân dân đó làm thiệt hại nghiêm trọng đến lợi ích của Nhân dân và trình Ủy ban Thường vụ Quốc hội phê chuẩn;Xem xét, cho ý kiến về việc thành lập, giải thể, nhập, chia đơn vị hành chính, điều chỉnh địa giới và đổi tên đơn vị hành chính cấp mình và cấp xã ở địa phương.;Đáp án A đúng, đáp án B sai;Đáp án B đúng, đáp án A sai"""
"16,""Có bao nhiêu nhiệm vụ, quyền hạn của Chủ tịch Ủy ban nhân dân tỉnh được quy định trong Luật Tổ chức chính quyền địa phương?"",""22"",""13;23;32;22"""
"17,""Cơ quan nào có thẩm quyền ban hành Quy chế làm việc của Ủy ban nhân dân cấp xã?"",""Ủy ban nhân dân xã cấp"",""Đảng ủy cấp xã;Hội đồng nhân dân cấp xã;Ủy ban nhân dân xã cấp;Chủ tịch Ủy ban nhân dân cấp xã"""
"18,""Tại đặc khu có dân số thường trú bao nhiêu người thì không tổ chức cấp chính quyền địa phương?"",""Dưới 1.000 người"",""Dưới 2.000 người;Dưới 1.500 người;Dưới 1.000 người;Cả 3 đáp án trên đều sai"""
"19,""Số lượng đại biểu Hội đồng nhân dân của thành phố Hà Nội và thành phố Hồ Chí Minh được quy định trong Luật Tổ chức chính quyền địa phương là bao nhiêu?"",""125 đại biểu"",""120 đại biểu;125 đại biểu;130 đại biểu;135 đại biểu"""
"20,""Trong nhiệm kỳ, nếu khuyết Chủ tịch Hội đồng nhân dân thì Thường trực Hội đồng nhân dân cùng cấp phân công 01 Phó Chủ tịch Hội đồng nhân dân điều hành hoạt động của Hội đồng nhân dân, Thường trực Hội đồng nhân dân cho đến khi nào?"",""Đến khi Hội đồng nhân dân bầu ra Chủ tịch Hội đồng nhân dân mới."",""Đến hết nhiệm kỳ;Đến khi Hội đồng nhân dân bầu ra Chủ tịch Hội đồng nhân dân mới.;Đến kỳ họp tiếp theo;Cả 3 đáp án trên đều sai"""
"21,""Quyết định của Ủy ban nhân dân phải được bao nhiêu thành viên của Ủy ban nhân dân biểu quyết tán thành?"",""Hơn một phần hai"",""Hơn một phần ba;Hơn một phần hai;Hơn hai phần ba;Hơn ba phần tư"""
"22,""Thẩm quyền quyết định điều động Chủ tịch Ủy ban nhân dân, Phó Chủ tịch Ủy ban nhân dân cấp tỉnh?"",""Thủ tướng Chính phủ"",""Ủy ban Thường vụ Quốc hội;Chính phủ;Thủ tướng Chính phủ;Hội đồng nhân dân tỉnh"""
"23,""Khi Chủ tịch Ủy ban nhân dân, Phó Chủ tịch Ủy ban nhân dân cấp xã có hành vi vi phạm pháp luật hoặc không thực hiện đúng chức trách, nhiệm vụ được giao, thì ai là người có thẩm quyền ra quyết định cách chức?"",""Hội đồng nhân dân cấp xã"",""Ủy ban nhân dân tỉnh;Chủ tịch Ủy ban nhân dân tỉnh;Đảng ủy cấp xã;Hội đồng nhân dân cấp xã"""
"24,""Hoạt động của chính quyền địa phương khi không còn đủ hai phần ba tổng số đại biểu Hội đồng nhân dân được thực hiện trong trường hợp thời gian còn lại của nhiệm kỳ nhiều hơn 18 tháng thì:"",""Thực hiện bầu cử bổ sung đại biểu Hội đồng nhân dân theo quy định của pháp luật về bầu cử"",""Thực hiện bầu cử bổ sung đại biểu Hội đồng nhân dân theo quy định của pháp luật về bầu cử;Giữ nguyên số lượng đại biểu Hội đồng nhân dân hiện có.;Chỉ định thêm đại biểu Hội đồng nhân dân cho đủ số lượng;Cả 3 đáp án trên đều sai"""
"25,""Ủy ban nhân dân họp chuyên đề hoặc họp để giải quyết công việc phát sinh đột xuất trong các trường hợp sau đây:"",""Cả 3 đáp án trên đều đúng."",""Do Chủ tịch Ủy ban nhân dân quyết định; ;Theo yêu cầu của Chủ tịch Ủy ban nhân dân cấp tỉnh đối với phiên họp Ủy ban nhân dân cấp xã và theo yêu cầu của Thủ tướng Chính phủ đối với phiên họp Ủy ban nhân dân cấp tỉnh; ;Theo yêu cầu của ít nhất một phần ba tổng số thành viên của Ủy ban nhân dân;Cả 3 đáp án trên đều đúng."""
"26,""Theo Luật Cán bộ, công chức thì """"Điều động"""" là:"",""Là việc cơ quan, tổ chức có thẩm quyền quyết định chuyển cán bộ, công chức từ cơ quan, tổ chức, đơn vị này đến làm việc ở cơ quan, tổ chức, đơn vị khác."",""Là việc công chức của cơ quan, tổ chức, đơn vị này được cử đến làm việc có thời hạn tại cơ quan, tổ chức, đơn vị khác ngoài phạm vi cơ quan quản lý theo yêu cầu nhiệm vụ.;Là việc cơ quan, tổ chức có thẩm quyền quyết định chuyển cán bộ, công chức từ cơ quan, tổ chức, đơn vị này đến làm việc ở cơ quan, tổ chức, đơn vị khác.;Là việc cơ quan, tổ chức có thẩm quyền phân công hoặc bổ nhiệm cán bộ, công chức lãnh đạo, quản lý giữ một chức vụ, chức danh lãnh đạo, quản lý tại cơ quan, tổ chức, đơn vị khác trong một thời hạn nhất định để tiếp tục đào tạo, bồi dưỡng và rèn luyện theo yêu cầu nhiệm vụ hoặc theo yêu cầu của chức danh được quy hoạch.;Cả 3 đáp án trên đều sai"""
"27,""\""Là công dân Việt Nam, được bầu cử, phê chuẩn, bổ nhiệm hoặc chỉ định giữ chức vụ, chức danh theo nhiệm kỳ trong cơ quan của Đảng Cộng sản Việt Nam, Nhà nước, Mặt trận Tổ quốc Việt Nam, các tổ chức chính trị - xã hội ở trung ương, ở cấp tỉnh, ở cấp xã, trong biên chế và hưởng lương từ ngân sách nhà nước\"". Đây là khái niệm của:"",""Cán bộ."",""Cán bộ.;Công chức.;Viên chức.;Những người hoạt động không chuyên trách"""
"28,""Nguyên tắc trong thi hành công vụ bao gồm:"",""Cả 02 đáp án A&B đều đúng"",""Công khai, minh bạch, đúng thẩm quyền và có sự kiểm tra, giám sát.;Bảo đảm tính hệ thống, thống nhất, liên tục, thông suốt, chuyên nghiệp, hiện đại và hiệu quả.;Cả 02 đáp án A&B đều đúng;Cả 02 đáp án A&B đều sai"""
"29,""Đâu **không** phải là Nguyên tắc quản lý cán bộ, công chức?"",""Kết hợp giữa tiêu chuẩn chức danh, vị trí việc làm và chỉ tiêu biên chế."",""Bảo đảm sự lãnh đạo của Đảng Cộng sản Việt Nam, sự quản lý của Nhà nước.;Kết hợp giữa tiêu chuẩn chức danh, vị trí việc làm và chỉ tiêu biên chế.;Bảo đảm thứ bậc hành chính và sự phối hợp chặt chẽ.;Thực hiện nguyên tắc tập trung dân chủ, chế độ trách nhiệm cá nhân và phân công, phân cấp rõ ràng."""
"30,""Người đủ bao nhiêu tuổi mới được đăng ký dự tuyển công chức?"",""Đủ 18 tuổi trở lên."",""Đủ 18 tuổi trở lên.;Đủ 21 tuổi trở lên.;Dưới 25 tuổi;Dưới 30 tuổi"""
"31,""Đâu là căn cứ xác định vị trí việc làm:"",""Cả 03 đáp án trên đều đúng."",""Chức năng, nhiệm vụ và cơ cấu tổ chức của cơ quan, tổ chức, đơn vị sử dụng công chức;;Mức độ phức tạp, tính chất, đặc điểm của từng ngành, lĩnh vực; phạm vi, đối tượng phục vụ; quy trình quản lý chuyên môn, nghiệp vụ;;Mức độ hiện đại hóa công sở, trang thiết bị, phương tiện làm việc; mức độ ứng dụng khoa học, công nghệ, chuyển đổi số.;Cả 03 đáp án trên đều đúng."""
"32,""Ngạch công chức xếp theo thứ bậc về chuyên môn, nghiệp vụ, bao gồm:"",""Chuyên gia cao cấp; Chuyên viên cao cấp và tương đương; Chuyên viên chính và tương đương; Chuyên viên và tương đương; Cán sự và tương đương; Nhân viên."",""Chuyên viên cao cấp và tương đương; Chuyên viên chính và tương đương; Chuyên viên và tương đương; Cán sự và tương đương; Nhân viên.;Chuyên gia cao cấp; Chuyên viên cao cấp và tương đương; Chuyên viên chính và tương đương; Chuyên viên và tương đương; Cán sự và tương đương; Nhân viên.;Chuyên gia cao cấp; Chuyên viên cao cấp và tương đương; Chuyên viên chính và tương đương; Chuyên viên và tương đương; Cán sự và tương đương; Nhân viên hợp đồng.;Cả 03 đáp án trên đều sai."""
"33,""Căn cứ vào kết quả theo dõi, đánh giá, công chức được xếp loại chất lượng hằng năm theo các mức sau:"",""Hoàn thành xuất sắc nhiệm vụ; Hoàn thành tốt nhiệm vụ; Hoàn thành nhiệm vụ; Không hoàn thành nhiệm vụ."",""Hoàn thành xuất sắc nhiệm vụ; Hoàn thành tốt nhiệm vụ; Hoàn thành khá nhiệm vụ; Hoàn thành nhiệm vụ.;Hoàn thành xuất sắc nhiệm vụ; Hoàn thành tốt nhiệm vụ; Hoàn thành nhiệm vụ; Không hoàn thành nhiệm vụ.;Cả 02 đáp án trên đều đúng.;Cả 02 đáp án trên đều sai."""
"34,""Đâu là Nghĩa vụ của cán bộ, công chức trong thi hành công vụ?"",""Bảo vệ, quản lý và sử dụng hiệu quả, tiết kiệm tài sản công được giao."",""Tôn trọng và bảo vệ quyền con người, quyền công dân, tận tụy phục vụ Nhân dân.;Liên hệ chặt chẽ với Nhân dân, tôn trọng, lắng nghe ý kiến và chịu sự giám sát của Nhân dân.;Chấp hành nghiêm chỉnh đường lối, chủ trương, chính sách của Đảng và pháp luật của Nhà nước.;Bảo vệ, quản lý và sử dụng hiệu quả, tiết kiệm tài sản công được giao."""
"35,""Đâu **không** phải là Quyền của cán bộ, công chức về bảo đảm điều kiện thi hành công vụ?"",""Được bố trí hoặc được thuê nhà ở công vụ theo quy định của pháp luật và của cấp có thẩm quyền."",""Được hưởng tiền làm thêm giờ, tiền lương làm việc vào ban đêm, công tác phí và các chế độ khác theo quy định.;Được bố trí hoặc được thuê nhà ở công vụ theo quy định của pháp luật và của cấp có thẩm quyền.;Được cung cấp thông tin, dữ liệu liên quan đến nhiệm vụ, quyền hạn được giao.;Được tham gia đào tạo, bồi dưỡng nâng cao trình độ."""
"36,""Văn hóa giao tiếp ở công sở được quy định như thế nào trong Luật Cán bộ, công chức?"",""Cả 2 đáp án A và B đều đúng"",""Trong giao tiếp ở công sở, cán bộ, công chức phải có thái độ lịch sự, tôn trọng đồng nghiệp.;Cán bộ, công chức phải lắng nghe ý kiến của đồng nghiệp; công bằng, vô tư, khách quan khi nhận xét, đánh giá đồng nghiệp.;Cả 2 đáp án A và B đều sai;Cả 2 đáp án A và B đều đúng"""
"37,""Đâu là Những việc cán bộ, công chức không được làm?"",""Cả 03 đáp án trên đều đúng"",""Sử dụng tài sản công của Nhà nước và tài sản của Nhân dân trái pháp luật.;Lợi dụng, lạm dụng nhiệm vụ, quyền hạn, sử dụng thông tin liên quan đến công vụ để trục lợi.;Có hành vi phân biệt đối xử dân tộc, giới tính, độ tuổi, khuyết tật, tôn giáo, tín ngưỡng, thành phần xã hội dưới mọi hình thức trong thi hành công vụ.;Cả 03 đáp án trên đều đúng"""
"38,""Theo Nghị định 150/2025/NĐ-CP ngày 12/6/2025 của Chính phủ thì cơ cấu tổ chức của sở, gồm:"",""Phòng chuyên môn, nghiệp vụ; Văn phòng (nếu có); Thanh tra (nếu có) Chi cục và tổ chức tương đương (nếu có); Đơn vị sự nghiệp công lập (nếu có)."",""Phòng chuyên môn, nghiệp vụ; Văn phòng (nếu có); Chi cục và tổ chức tương đương (nếu có); Đơn vị sự nghiệp công lập (nếu có).;Phòng chuyên môn, nghiệp vụ; Văn phòng (nếu có); Thanh tra (nếu có) Chi cục và tổ chức tương đương (nếu có); Đơn vị sự nghiệp công lập (nếu có).;Phòng chuyên môn, nghiệp vụ; Thanh tra (nếu có) ; Chi cục và tổ chức tương đương (nếu có); Đơn vị sự nghiệp công lập (nếu có).;Cả 03 đáp án trên đều sai."""
"39,""Theo Nghị định 150/2025/NĐ-CP ngày 12/6/2025 của Chính phủ thì số lượng Phó Trưởng phòng chuyên môn, nghiệp vụ thuộc sở thì phòng thuộc sở có từ 15 biên chế công chức trở lên được bố trí:"",""Không quá 03 Phó Trưởng phòng"",""Không quá 05 Phó Trưởng phòng.;Không quá 04 Phó Trưởng phòng.;Không quá 03 Phó Trưởng phòng;Cả 03 đáp án trên đều sai."""
"40,""Theo Nghị định 150/2025/NĐ-CP ngày 12/16/2025 của Chính phủ quy định các sở đặc thù được tổ chức ở một số địa phương thì Sở Dân tộc và Tôn giáo được thành lập khi có đủ điều kiện về số lượng dân tộc thiểu số như sau:"",""Cả 2 đáp án A và B đều đúng"",""Có ít nhất 20.000 người dân tộc thiểu số sống tập trung thành cộng đồng làng, bản;;Có ít nhất 5.000 người dân tộc thiểu số đang cần Nhà nước tập trung giúp đỡ, hỗ trợ phát triển;;Đáp A đúng, đáp án B sai;Cả 2 đáp án A và B đều đúng"""
"41,""Theo Nghị định 150/2025/NĐ-CP ngày 12/6/2025 của Chính phủ quy định thì: trừ Hà Nội và thành phố Hồ Chí Minh, các tỉnh, thành phố còn lại được tổ chức số lượng sở như sau:"",""Không quá 15 sở."",""Không quá 12 sở;;Không quá 13 sở;;Không quá 14 sở;Không quá 15 sở."""
"42,""Theo Nghị định 150/2025/NĐ-CP ngày 12/6/2025 của Chính phủ thì các phòng chuyên môn thuộc Ủy ban nhân dân cấp xã bao gồm:"",""Văn phòng Hội đồng nhân dân và Ủy ban nhân dân; Phòng Kinh tế - Kế hoạch; Phòng Văn hóa - Xã hội."",""Văn phòng Hội đồng nhân dân và Ủy ban nhân dân; Phòng Kinh tế; Phòng Văn hóa - Xã hội; Trung tâm Phục vụ hành chính công.;Văn phòng Hội đồng nhân dân và Ủy ban nhân dân; Phòng Kinh tế; Phòng Văn hóa - Xã hội.;Văn phòng Ủy ban nhân dân; Phòng Kinh tế - tài chính; Phòng Văn hóa.;Văn phòng Hội đồng nhân dân và Ủy ban nhân dân; Phòng Kinh tế - Kế hoạch; Phòng Văn hóa - Xã hội."""
"43,""Kế hoạch Cải cách hành chính năm 2025 của Ủy ban nhân dân tỉnh có đưa ra chỉ tiêu:"",""Nâng cao chất lượng giải quyết TTHC, duy trì số lượng TTHC được giải quyết đúng hạn của tỉnh đạt từ 99% trở lên."",""Nâng cao chất lượng giải quyết TTHC, duy trì số lượng TTHC được giải quyết đúng hạn của tỉnh đạt từ 97% trở lên.;Nâng cao chất lượng giải quyết TTHC, duy trì số lượng TTHC được giải quyết đúng hạn của tỉnh đạt từ 98% trở lên.;Nâng cao chất lượng giải quyết TTHC, duy trì số lượng TTHC được giải quyết đúng hạn của tỉnh đạt từ 99% trở lên.;Nâng cao chất lượng giải quyết TTHC, duy trì số lượng TTHC được giải quyết đúng hạn của tỉnh đạt từ 100% trở lên."""
"44,""Theo Kế hoạch Cải cách hành chính năm 2025 của Ủy ban nhân dân tỉnh, đâu **không** phải là """"Các chỉ tiêu chủ yếu”?"", ""Thực hiện tốt công tác quản lý cán bộ, công chức, viên chức; đảm bảo 100% công chức, viên chức được tuyển dụng, nâng ngạch đúng quy định."",""Thực hiện tốt công tác quản lý cán bộ, công chức, viên chức; đảm bảo 100% công chức, viên chức được tuyển dụng, nâng ngạch đúng quy định.;Duy trì 100% hoạt động chỉ đạo, điều hành và quản trị nội bộ của các cơ quan nhà nước được thực hiện trên môi trường mạng.;Duy trì 100% đơn vị thực hiện đúng quy định về sử dụng kinh phí từ nguồn ngân sách nhà nước.;Đảm bảo số hóa hồ sơ, kết quả giải quyết TTHC của cơ quan, đơn vị đạt tỷ lệ 100% theo quy định;"""
"45,""\""Thực hiện khai thác, sử dụng Hệ thống quản lý văn bản và chỉ đạo điều hành (VNPT-iOffice) trong hoạt động chỉ đạo, điều hành và quản trị nội bộ của các cơ quan hành chính nhà nước” là nhiệm vụ trọng tâm thuộc nội dung nào trong Kế hoạch Cải cách hành chính năm 2025 của Ủy ban nhân dân tỉnh?"",""Xây dựng chính quyền điện tử, chính quyền số"",""Chỉ đạo điều hành;Cải cách thể chế;Cải cách chế độ công vụ;Xây dựng chính quyền điện tử, chính quyền số"""
"46,""”Hoàn thiện các kịch bản và nâng cấp tổng đài 1022 để hỗ trợ cung cấp thông tin cần thiết cho người dân” là nhiệm vụ trọng tâm thuộc nội dung nào trong Kế hoạch Cải cách hành chính năm 2025 của Ủy ban nhân dân tỉnh?"",""Xây dựng chính quyền điện tử, chính quyền số"",""Cải cách thủ tục hành chính;Xây dựng chính quyền điện tử, chính quyền số;Đáp án A đúng, đáp án B sai;Đáp án A sai, đáp án B đúng"""
"47,""Theo Kế hoạch Cải cách hành chính năm 2025 của Ủy ban nhân dân tỉnh, chế độ thông tin báo cáo được quy định thì thời hạn các đơn vị, địa phương báo cáo về UBND tỉnh (qua Sở Nội vụ) là:"",""Chậm nhất là ngày 20 của tháng cuối kỳ báo cáo."",""Chậm nhất là ngày 10 của tháng cuối kỳ báo cáo.;Chậm nhất là ngày 15 của tháng cuối kỳ báo cáo.;Chậm nhất là ngày 20 của tháng cuối kỳ báo cáo.;Chậm nhất là ngày 25 của tháng cuối kỳ báo cáo."""
"48,""Các chỉ tiêu chủ yếu trong Kế hoạch Cải cách hành chính năm 2025 của Ủy ban nhân dân tỉnh quy định:"",""Văn bản quy phạm pháp luật của tỉnh được ban hành đảm bảo trình tự, thủ tục, đúng quy định của pháp luật 100%."",""Đảm bảo 100% các cơ quan chuyên môn cấp tỉnh, phòng chuyên môn cấp xã được sắp xếp, kiện toàn kịp thời.;Văn bản quy phạm pháp luật của tỉnh được ban hành đảm bảo trình tự, thủ tục, đúng quy định của pháp luật 100%.;Đáp án A và B đều đúng.;Đáp án A và B đều sai."""
"49,""Trong Các chỉ tiêu chủ yếu của Kế hoạch Cải cách hành chính năm 2025 của Ủy ban nhân dân tỉnh thì:"",""Đáp án A và B đều sai."",""Duy trì 90% hoạt động chỉ đạo, điều hành và quản trị nội bộ của các cơ quan nhà nước được thực hiện trên môi trường mạng.;Duy trì 90% đơn vị thực hiện đúng quy định về sử dụng kinh phí từ nguồn ngân sách nhà nước.;Đáp án A và B đều sai.;Đáp án A và B đều đúng."""
"50,""Trong Các chỉ tiêu chủ yếu của Kế hoạch Cải cách hành chính năm 2025 của Ủy ban nhân dân tỉnh thì:"",""Cả 3 đáp án đều sai"",""Thực hiện tốt công tác quản lý cán bộ, công chức, viên chức; đảm bảo 95% công chức, viên chức được tuyển dụng, nâng ngạch đúng quy định.;Duy trì 95% hoạt động chỉ đạo, điều hành và quản trị nội bộ của các cơ quan nhà nước được thực hiện trên môi trường mạng.;Duy trì 95% đơn vị thực hiện đúng quy định về sử dụng kinh phí từ nguồn ngân sách nhà nước.;Cả 3 đáp án đều sai"""
"51,""Trong quy định Chế độ báo cáo của Kế hoạch Cải cách hành chính năm 2025 của Ủy ban nhân dân tỉnh thì các cơ quan nào phải thực hiện định kỳ tổng hợp kết quả triển khai nội dung CCHC thuộc lĩnh vực do cơ quan, đơn vị chịu trách nhiệm chủ trì, tham mưu UBND tỉnh, gửi báo cáo chuyên đề về UBND tỉnh (qua Sở Nội vụ)?"",""Văn phòng UBND tỉnh, Sở Tư pháp, Sở Tài chính, Sở Thông tin và Truyền thông"",""Văn phòng UBND tỉnh, Sở Tư pháp, Sở Tài chính, Sở Khoa học và Công nghệ;Văn phòng UBND tỉnh, Sở Tư pháp, Sở Tài chính, Sở Thông tin và Truyền thông;Văn phòng UBND tỉnh, Sở Tư pháp, Sở Kế hoạch và Đầu tư, Sở Thông tin và Truyền thông;Văn phòng Tỉnh ủy, Sở Tư pháp, Sở Tài chính, Sở Công Thương."""
"52,""Trong Kế hoạch Cải cách hành chính năm 2025, Ủy ban nhân dân tỉnh giao cho cơ quan nào chủ trì thực hiện công tác kiểm soát TTHC?"",""Văn phòng UBND tỉnh"",""Văn phòng UBND tỉnh;Sở Tư pháp;Sở Tài chính;Sở Khoa học và Công nghệ"""
